company_name,brand,manufacturer_part_number,vendor_part_number,item_name,full_product_description,price,country_of_origin,upc,product_category,url,availability,date_crawled
acehardware,traeger,PEL331,8013984,Traeger Signature Hardwood Pellets All Natural Maple/Cherry 20 lb,"The flavors of hickory, maple and cherry hardwoods combine for a blend that can take on just about anything you cook. From classic BBQ meats, to fish and veggies, this versatile blend gives you full-bodied flavor you will go back to time and time again.",19.99,US,634868926440,Ace Hardware > Outdoor Living > Grills and Smokers > Grilling Chips and Chunks,https://www.acehardware.com/departments/8013984,InStock,2026-01-28 14:34:30.991000
acehardware,weber,741001,8105207,Weber 22 in. Original Kettle Charcoal Grill Black,"Stay true to the modern version of the kettle that started it all, the Original Kettle grill, invented by Weber&#39;s founder and loved around the world. This black Original Kettle charcoal grill has an ultra-durable, porcelain-enameled lid and bowl to retain heat, while the dampers easily adjust for precise temperature control. Outdoor grill also features a One-Touch cleaning system for easy and quick cleanup. The convenient angled lid hook provides a storage solution that means there&#39;s no more setting the grill lid on the ground while you cook. *  * At 22 inches, this Weber charcoal grill provides you with enough space to grill up to 13 burgers at once, more than enough to keep family and friends happily fed at your next party or barbecue. Sturdy features such as the durable-plated steel cooking grate and all-weather wheels mean you&#39;ll be able to keep cooking delicious meals on this outdoor grill for years to come. It&#39;s why the Original Kettle will always be the grill built for everyone.",149.00,US,077924025303,Ace Hardware > Outdoor Living > Grills and Smokers > Charcoal Grills,https://www.acehardware.com/departments/8105207,InStock,2026-01-28 14:34:35.050000
acehardware,traeger,BAC380,8484289,"Traeger Series 34 Pro, Elite and Eastwood Black Grill Cover","Protect your investment with a custom, heavy-duty all weather grill cover. Through rain, sleet, snow and dark of night, the all weather material keeps your 34 Series grill safe, dry and in mint condition. Rest easy knowing that your Traeger is tucked away with the maximum protection possible in all weather conditions, all year round.",99.99,CN,634868921049,Ace Hardware > Outdoor Living > Grills and Smokers > Grill Covers,https://www.acehardware.com/departments/8484289,InStock,2026-01-28 14:34:39.012000
acehardware,b&b-charcoal,42,8684151,B&B Charcoal All Natural Oak Lump Charcoal 20 lb,"For over 50 years B&amp;B Charcoal has been the leading producer of lump charcoal. B&amp;B Charcoal offer a variety of types that include Oak, Mesquite, Hickory, Hardwood and Quebracho Blanco. Through our unique process, we are able to rid our wood of the most unwanted foreign material, including resins and acids that are most commonly found in other major brands. What remains is only the natural fiber, accounting for the subtle, natural flavor that foods capture when cooked with B&amp;B Lump Charcoal. That process has made it “The Expert’s Choice For the Outdoor Barbequer” for many years.",19.99,MX,034326000420,Ace Hardware > Outdoor Living > Grills and Smokers > Charcoal,https://www.acehardware.com/departments/8684151,InStock,2026-01-28 14:34:44.223000
acehardware,weber,7139,8882821,Weber Spirit and Spirit II Black Grill Cover,"Now you can embrace the pouring rain, freezing snow, and scorching sun. Your outdoor grill will continue looking great and allowing you to grill up juicy burgers and steaks throughout it all, thanks to this durable Weber Premium Grill Cover for large Spirit series grills. We designed the cover to be lightweight and simple to pull on and off. It includes secure, fastening straps to keep it from blowing into your neighbor&#39;s yard during the next windstorm. The water-resistant material helps maintain a clean, sleek surface and UV inhibitors in the fabric resist fading when the sun is particularly strong. We recommend using a Weber water-resistant grill cover regularly to extend the functionality and appearance of your outdoor grill, so you can continue grilling delicious meals your family and friends will love for years to come. Please note: This grill cover is compatible with Spirit 300 Series Grills prior to 2025 and the Spirit 400 Series models with 4 main burners.",89.99,CN,077924058752,Ace Hardware > Outdoor Living > Grills and Smokers > Grill Covers,https://www.acehardware.com/departments/8882821,InStock,2026-01-28 14:34:47.834000
acehardware,weber,7138,8883001,Weber Spirit and Spirit II Black Grill Cover,"Now you can embrace the pouring rain, freezing snow, and scorching sun. Your outdoor grill will continue looking great and allowing you to grill up juicy burgers and steaks throughout it all, thanks to this lightweight and durable Weber Premium Grill Cover for small Spirit series grills. We designed the cover to be lightweight and simple to pull on and off. It includes secure, fastening straps to keep it from blowing into your neighbor&#39;s yard during the next windstorm. The water-resistant material helps maintain a clean, sleek surface and UV inhibitors in the fabric resist fading when the sun is particularly strong. We recommend using a Weber water-resistant grill cover regularly to extend the functionality and appearance of your outdoor grill, so you can continue grilling delicious meals your family and friends will love for years to come. Please note: This grill cover is compatible with 2025 and newer Spirit 200 and 300 Series Grills and Spirit II 200 Series models 2016-2024.",79.99,CN,077924058745,Ace Hardware > Outdoor Living > Grills and Smokers > Grill Covers,https://www.acehardware.com/departments/8883001,InStock,2026-01-28 14:34:50.486000
acehardware,traeger,BAC503,8016830,Traeger Pro 575 Black Grill Cover,"The Pro 575 full-length, all-weather grill cover will shield your trusted Traeger from all of Mother Nature&#39;s mood swings. Keep your BBQ safe from rain, sleet, snow, sun, and wind with this stem to stern, water resistant cover. Peace of mind is just a full-length cover away.",89.99,CN,634868929106,Ace Hardware > Outdoor Living > Grills and Smokers > Grill Covers,https://www.acehardware.com/departments/8016830,InStock,2026-01-28 14:34:52.766000
acehardware,blackstone,5463,8060764,Blackstone Grill Cleaning Kit 8 pc,"Deep clean your dirty griddle top with the culinary series 8 pc. griddle cleaning kit. This kit includes one 6 in. heavy duty stainless steel griddle scraper to remove debris, cooked on food and other residue. The griddle cleaning kit also features a handle and 6 scour pads designed to clean griddle tops, wet or dry. The replaceable pads resist clogging and rinse clean. Last, but not least, this kit includes another handle with 2 cleaning bricks, which is designed to clean griddle or grill grates and help remove cooked on grime. Can be used on hot or cold surfaces.",39.99,KH,717604054635,Ace Hardware > Outdoor Living > Grills and Smokers > Grilling Utensils/Tools,https://www.acehardware.com/departments/8060764,InStock,2026-01-28 14:34:55.114000
acehardware,blackstone,2401,8061614,Blackstone 2 Burner Liquid Propane Outdoor Griddle Black,"The Blackstone Culinary 22 in. Griddle with Flex-Fold Legs is easy to transport to and from the cookout. Infused with Omnivore Griddle Plate Technology you will be cooking up breakfast, lunch, and dinner in no time. Omnivore Griddle Plate Technology - Quicker preheat and recovery times, even heat distribution, higher fuel efficiency with fewer BTUs required for optimal cooking temperatures, and built-in wind guards keep the hot air in and the cool air out.",299.99,MY,717604024010,Ace Hardware > Outdoor Living > Grills and Smokers > Gas Grills,https://www.acehardware.com/departments/8061614,InStock,2026-01-28 14:34:57.301000
acehardware,blackstone,5483,8065838,Blackstone Black Griddle Cover For 28 in. Griddles,Show your favorite griddle some love by protecting it from the elements with the new 28 inch Griddle with Hood Cover. Made from 600 D polyester and reinforced stitching you will never have to worry what mother nature is dishing out to your griddle. The straps provided will ensure your investment is safe and snug till the next time your ready to fire it up!,49.99,CN,717604054833,Ace Hardware > Outdoor Living > Grills and Smokers > Grill Covers,https://www.acehardware.com/departments/8065838,InStock,2026-01-28 14:34:59.495000
